ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Numchildren,TotalNumPurchases,TotalAcceptedCmp,TotalMnt,Age
5524,1957,2nd_Cycle,Single,58138.0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,0,25,1,1617,64
2174,1954,2nd_Cycle,Single,46344.0,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,2,6,0,27,67
4141,1965,2nd_Cycle,In_Relationships,71613.0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,21,0,776,56
6182,1984,2nd_Cycle,In_Relationships,26646.0,2014-10-02,26,11,4,20,10,3,5,2,2,0,4,6,0,1,8,0,53,37
5324,1981,3rd_Cycle,In_Relationships,58293.0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,1,19,0,422,40
7446,1967,2nd_Cycle,In_Relationships,62513.0,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,1,22,0,716,54
965,1971,2nd_Cycle,Single,55635.0,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,1,21,0,590,50
6177,1985,3rd_Cycle,In_Relationships,33454.0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,1,10,0,169,36
4855,1974,3rd_Cycle,In_Relationships,30351.0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,1,6,1,46,47
5899,1950,3rd_Cycle,In_Relationships,5648.0,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,0,2,2,1,49,71
1994,1983,2nd_Cycle,In_Relationships,51111.0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,1,4,0,19,38
387,1976,1st_Cycle,In_Relationships,7500.0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,6,0,61,45
2125,1959,2nd_Cycle,Single,63033.0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,16,0,1102,62
8180,1952,2nd_Cycle,Single,59354.0,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,2,15,0,310,69
2569,1987,2nd_Cycle,In_Relationships,17323.0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,5,0,46,34
2114,1946,3rd_Cycle,Single,82800.0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,26,3,1315,75
9736,1980,2nd_Cycle,In_Relationships,41850.0,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,2,9,0,96,41
4939,1946,2nd_Cycle,In_Relationships,37760.0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,13,0,317,75
6565,1949,2nd_Cycle,In_Relationships,76995.0,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,1,26,1,1782,72
2278,1985,2nd_Cycle,Single,33812.0,2012-03-11,86,4,17,19,30,24,39,2,2,1,3,6,0,1,8,0,133,36
9360,1982,2nd_Cycle,In_Relationships,37040.0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,12,0,316,39
